block,stimulus,correct_response
neutral,img/incong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_right.png,ArrowRight
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_left.png,ArrowLeft
neutral,img/cong_left.png,ArrowLeft
neutral,img/cong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_left.png,ArrowLeft
neutral,img/incong_right.png,ArrowRight
neutral,img/incong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
neutral,img/incong_left.png,ArrowLeft
neutral,img/cong_right.png,ArrowRight
neutral,img/cong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/incong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/cong_right.png,ArrowRight
negative,img/cong_left.png,ArrowLeft
negative,img/cong_right.png,ArrowRight
negative,img/incong_right.png,ArrowRight
negative,img/incong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/cong_right.png,ArrowRight
negative,img/incong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/cong_left.png,ArrowLeft
negative,img/cong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/incong_left.png,ArrowLeft
negative,img/incong_right.png,ArrowRight
negative,img/cong_right.png,ArrowRight
negative,img/cong_left.png,ArrowLeft
negative,img/cong_left.png,ArrowLeft
positive,img/cong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/cong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
positive,img/cong_right.png,ArrowRight
positive,img/cong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/cong_left.png,ArrowLeft
positive,img/cong_right.png,ArrowRight
positive,img/cong_left.png,ArrowLeft
positive,img/incong_right.png,ArrowRight
positive,img/cong_right.png,ArrowRight
positive,img/incong_left.png,ArrowLeft
positive,img/incong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
positive,img/cong_left.png,ArrowLeft
positive,img/incong_right.png,ArrowRight
positive,img/incong_left.png,ArrowLeft
positive,img/cong_left.png,ArrowLeft
positive,img/cong_left.png,ArrowLeft
positive,img/cong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
positive,img/cong_right.png,ArrowRight
positive,img/incong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/incong_right.png,ArrowRight
positive,img/cong_left.png,ArrowLeft
positive,img/cong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/cong_right.png,ArrowRight
positive,img/cong_right.png,ArrowRight
positive,img/cong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/incong_left.png,ArrowLeft
positive,img/cong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
positive,img/cong_right.png,ArrowRight
positive,img/incong_right.png,ArrowRight
